path,filename,archive,market_start,market_end,complete,line_count,book_messages_total,in_window_book_messages,trade_count_window,snapshots,deltas,sequence_breaks,first_book_age,last_book_age,sampled_points,outcome,outcome_source,final_quote_proxy,final_trade_proxy,elapsed_seconds,fatal_error,raw_status,raw_leader,raw_leader_time,raw_pullback_time,raw_confirm_time,raw_entry_side,raw_up_ask_at_entry,raw_down_ask_at_entry,raw_entry_levels,sampled_status,sampled_leader,sampled_leader_time,sampled_pullback_time,sampled_confirm_time,sampled_entry_side,sampled_up_ask_at_entry,sampled_down_ask_at_entry,sampled_entry_levels,duplicate_of
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786785900-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786785900-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786785900,1786786200,False,136,132,0,0,2,130,0,,,301,UNKNOWN,not_extreme,0.505,,0.023967981338500977,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786785900-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786787100-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786787100-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786787100,1786787400,False,94,90,0,0,3,87,0,,,301,UNKNOWN,not_extreme,0.505,,0.005874156951904297,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786787100-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786788000-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786788000-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786788000,1786788300,False,212,208,0,0,2,206,0,,,301,UNKNOWN,not_extreme,0.505,,0.005148887634277344,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786788000-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786786800-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786786800-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786786800,1786787100,False,596,592,0,0,2,590,0,,,301,UNKNOWN,not_extreme,0.505,,0.014232873916625977,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786786800-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786787700-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786787700-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786787700,1786788000,False,612,608,0,0,2,606,0,,,301,UNKNOWN,not_extreme,0.505,,0.0075337886810302734,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786787700-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786788300-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786788300-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786788300,1786788600,False,215,213,0,0,2,211,0,,,301,UNKNOWN,not_extreme,0.505,,0.0034317970275878906,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786788300-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786788600-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786788600-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786788600,1786788900,False,152,148,0,0,2,146,0,,,301,UNKNOWN,not_extreme,0.505,,0.0036039352416992188,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786788600-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786789500-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786789500-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786789500,1786789800,False,131,129,0,0,3,126,0,,,301,UNKNOWN,not_extreme,0.5,,0.00487518310546875,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786789500-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786789200-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786789200-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786789200,1786789500,False,207,203,0,0,3,200,0,,,301,UNKNOWN,not_extreme,0.505,,0.007380962371826172,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786789200-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786789800-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786789800-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786789800,1786790100,False,148,146,0,0,2,144,0,,,301,UNKNOWN,not_extreme,0.505,,0.0031180381774902344,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786789800-2026-08-15.txt.zst
