path,filename,archive,market_start,market_end,complete,line_count,book_messages_total,in_window_book_messages,trade_count_window,snapshots,deltas,sequence_breaks,first_book_age,last_book_age,sampled_points,outcome,outcome_source,final_quote_proxy,final_trade_proxy,elapsed_seconds,fatal_error,raw_status,raw_leader,raw_leader_time,raw_pullback_time,raw_confirm_time,raw_entry_side,raw_up_ask_at_entry,raw_down_ask_at_entry,raw_entry_levels,raw_flat_cash_budget,raw_flat_total_debit,raw_flat_principal,raw_flat_fee,raw_flat_shares,raw_flat_avg_price,raw_flat_effective_cost_per_share,raw_flat_worst_price,raw_flat_levels_used,raw_flat_fill_ratio,raw_flat_win,raw_flat_pnl,sampled_status,sampled_leader,sampled_leader_time,sampled_pullback_time,sampled_confirm_time,sampled_entry_side,sampled_up_ask_at_entry,sampled_down_ask_at_entry,sampled_entry_levels,sampled_flat_cash_budget,sampled_flat_total_debit,sampled_flat_principal,sampled_flat_fee,sampled_flat_shares,sampled_flat_avg_price,sampled_flat_effective_cost_per_share,sampled_flat_worst_price,sampled_flat_levels_used,sampled_flat_fill_ratio,sampled_flat_win,sampled_flat_pnl,market_start_utc,market_end_utc
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786759200-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786759200-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786759200,1786759500,True,97827,96973,88916,785,861,96112,0,0.0,299.989,301,UP,quotes+trades,0.99,0.99,2.5928001403808594,,trade,UP,98.041,120.61,184.682,UP,0.76,0.26,"[[0.76,88.62],[0.77,55.0],[0.78,76.0],[0.79,160.0],[0.8,132.0]]",300.0,300.00000000000006,295.4151968836292,4.584803116370808,379.66249610453644,0.7780994960384221,0.7901754929130475,0.8,5.0,1.0000000000000002,True,79.66249610453639,trade,UP,99.0,121.0,185.0,UP,0.76,0.25,"[[0.76,160.63],[0.77,50.0],[0.78,76.0],[0.79,175.0]]",300.0,300.0,295.30722235143395,4.692777648566079,382.1343320904227,0.77278380284752,0.785064242615637,0.79,4.0,1.0,True,82.13433209042267,2026-08-15T02:00:00+00:00,2026-08-15T02:05:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786768200-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786768200-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786768200,1786768500,True,94662,93589,85478,1009,1104,92485,0,0.0,299.993,301,DOWN,quotes+trades,0.01,0.01,1.6008551120758057,,leader_confirm_too_soon_after_pullback,DOWN,136.048,136.212,136.26,,,,,,,,,,,,,,,,,trade,DOWN,137.0,138.0,222.0,DOWN,0.24,0.77,"[[0.77,17.67],[0.78,10.0],[0.79,15.0],[0.8,461.2]]",300.0,300.0,295.8108605621302,4.189139437869823,370.86370070266275,0.7976268909620097,0.8089225217555676,0.8,4.0,1.0,True,70.86370070266275,2026-08-15T04:30:00+00:00,2026-08-15T04:35:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786770900-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786770900-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786770900,1786771200,True,102559,101122,92995,1355,1475,99647,0,0.0,299.996,301,UP,quotes+trades,0.99,0.99,1.7639648914337158,,leader_confirm_too_soon_after_pullback,UP,50.382,50.388,51.745,,,,,,,,,,,,,,,,,trade,UP,52.0,131.0,248.0,UP,0.77,0.24,"[[0.77,150.76],[0.78,55.0],[0.79,80.0],[0.8,118.0]]",300.0,300.0,295.5147150690335,4.485284930966469,377.4218938362919,0.7829824392678558,0.7948664475996883,0.8,4.0,1.0,True,77.42189383629187,2026-08-15T05:15:00+00:00,2026-08-15T05:20:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786772400-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786772400-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786772400,1786772700,True,111066,109220,100901,1720,1936,107284,0,0.0,299.99,301,UP,quotes+trades,0.99,0.99,2.205843925476074,,leader_confirm_too_soon_after_pullback,DOWN,12.176,16.048,17.126,,,,,,,,,,,,,,,,,trade,DOWN,13.0,47.0,190.0,DOWN,0.24,0.77,"[[0.77,8.0],[0.78,93.99],[0.79,58.0],[0.8,58.0],[0.81,58.0],[0.82,64.0],[0.83,64.0]]",300.0,300.0,295.8684566656784,4.131543334321573,369.76862248876915,0.8001448437520269,0.8113181642639562,0.83,7.0,1.0,False,-300.0,2026-08-15T05:40:00+00:00,2026-08-15T05:45:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786775700-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786775700-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786775700,1786776000,True,83109,81723,74360,1332,1436,80287,0,0.0,299.978,301,DOWN,quotes+trades,0.01,0.01,2.1925108432769775,,leader_confirm_too_early_in_market,DOWN,46.848,46.985,111.838,,,,,,,,,,,,,,,,,trade,DOWN,112.0,120.0,211.0,DOWN,0.17,0.84,"[[0.84,27.48],[0.85,135.0],[0.86,10.0],[0.87,27.49],[0.88,52.5],[0.89,10.0],[0.9,40.0],[0.91,67.0]]",300.0,300.0,297.3002053860678,2.6997946139322275,341.8663795451294,0.8696386166479454,0.8775358384148955,0.91,8.0,1.0,True,41.866379545129405,2026-08-15T06:35:00+00:00,2026-08-15T06:40:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786787100-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786787100-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786787100,1786787400,True,98020,96711,88146,1193,1335,95376,0,0.0,299.989,301,UP,quotes+trades,0.99,0.99,2.4513931274414062,,leader_confirm_too_early_in_market,UP,51.364,51.489,122.858,,,,,,,,,,,,,,,,,trade,UP,119.0,137.0,187.0,UP,0.76,0.25,"[[0.76,109.53],[0.77,208.85],[0.78,80.0]]",300.0,299.99999999999994,295.2244336517628,4.775566348237147,383.97888929713184,0.7688558977608564,0.7812929521962676,0.78,3.0,0.9999999999999998,True,83.9788892971319,2026-08-15T09:45:00+00:00,2026-08-15T09:50:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786793400-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786793400-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786793400,1786793700,True,99624,98300,90875,1268,1355,96945,0,0.0,300.0,301,DOWN,quotes+trades,0.01,0.01,6.826714754104614,,leader_confirm_too_early_in_market,UP,33.056,33.097,93.878,,,,,,,,,,,,,,,,,trade,UP,94.0,121.0,187.0,UP,0.77,0.24,"[[0.77,25.0],[0.78,35.0],[0.79,80.05],[0.8,46.2],[0.81,445.25]]",300.0,300.0,295.83969475969604,4.160305240303956,370.3119688391309,0.7988931486257558,0.8101277442920689,0.81,5.0,1.0,False,-300.0,2026-08-15T11:30:00+00:00,2026-08-15T11:35:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786796100-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786796100-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786796100,1786796400,True,101436,99988,92144,1357,1484,98504,0,0.0,299.984,301,DOWN,quotes+trades,0.01,0.01,3.777707099914551,,leader_confirm_too_soon_after_pullback,DOWN,15.757,22.836,42.555,,,,,,,,,,,,,,,,,trade,DOWN,16.0,23.0,240.0,DOWN,0.2,0.81,"[[0.81,130.14],[0.82,30.0],[0.83,30.0],[0.84,153.32],[0.85,46.66]]",300.0,299.99999999999994,296.4158043740722,3.584195625927759,358.4171816165556,0.8270133787592411,0.8370134451895447,0.85,5.0,0.9999999999999998,True,58.41718161655564,2026-08-15T12:15:00+00:00,2026-08-15T12:20:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786799400-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786799400-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786799400,1786799700,True,116776,114905,106701,1743,1947,112958,0,0.0,299.998,301,UP,quotes+trades,0.99,0.99,4.364403009414673,,trade,DOWN,3.934,67.135,239.168,DOWN,0.32,0.76,"[[0.76,15.2],[0.77,214.8],[0.78,99.0],[0.79,1174.0]]",300.0,300.0,295.34850931309745,4.651490686902532,381.12722697860437,0.774934164778728,0.7871387262942549,0.79,4.0,1.0,False,-300.0,trade,DOWN,4.0,68.0,240.0,DOWN,0.23,0.78,"[[0.78,95.42],[0.79,614.0]]",300.0,300.0,295.6025432935843,4.397456706415689,375.3882826501067,0.7874580986032284,0.7991725204689596,0.79,2.0,1.0,False,-300.0,2026-08-15T13:10:00+00:00,2026-08-15T13:15:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786800300-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786800300-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786800300,1786800600,True,110377,108870,101020,1433,1558,107312,0,0.0,299.988,301,DOWN,quotes+trades,0.01,0.01,4.4459779262542725,,trade,UP,181.04,183.292,260.355,UP,0.76,0.26,"[[0.76,38.64],[0.77,75.0],[0.78,100.0],[0.79,25.0],[0.8,25.0],[0.81,30.0],[0.82,25.0],[0.83,435.0]]",300.0,300.0,295.6763362387588,4.32366376124123,374.07365811898643,0.790422767872923,0.801981089790009,0.83,8.0,1.0,False,-300.0,trade,UP,182.0,184.0,261.0,UP,0.77,0.24,"[[0.77,0.06],[0.78,70.0],[0.79,25.0],[0.8,20.0],[0.81,25.0],[0.82,25.0],[0.83,35.0],[0.84,230.0]]",300.0,300.0,296.24700219541137,3.7529978045886083,362.02524070882305,0.8183048276285323,0.8286715020549908,0.84,8.0,1.0,False,-300.0,2026-08-15T13:25:00+00:00,2026-08-15T13:30:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786827900-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786827900-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786827900,1786828200,True,110105,108568,100638,1491,1574,106994,0,0.0,299.987,301,DOWN,quotes+trades,0.01,0.01,2.7970428466796875,,leader_confirm_too_soon_after_pullback,DOWN,184.588,192.175,195.597,,,,,,,,,,,,,,,,,trade,DOWN,185.0,193.0,238.0,DOWN,0.25,0.76,"[[0.76,45.0],[0.77,35.0],[0.78,230.0],[0.79,45.0],[0.8,55.0]]",300.0,300.0,295.4355029585799,4.564497041420118,379.1693786982249,0.7791649841895922,0.7912031320408007,0.8,5.0,1.0,True,79.16937869822488,2026-08-15T21:05:00+00:00,2026-08-15T21:10:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786830600-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786830600-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786830600,1786830900,True,131250,129395,121196,1813,1944,127451,0,0.003,300.0,301,DOWN,quotes+trades,0.01,0.01,2.9883220195770264,,leader_confirm_too_soon_after_pullback,DOWN,142.179,142.213,142.337,,,,,,,,,,,,,,,,,trade,DOWN,143.0,175.0,218.0,DOWN,0.23,0.81,"[[0.81,5.0],[0.82,5.65],[0.83,122.65],[0.85,100.0],[0.87,5.0],[0.88,98.0],[0.89,116.0]]",300.0,300.0,296.936193708445,3.0638062915550273,348.5063974252191,0.8520250873505419,0.8608163357011906,0.89,7.0,1.0,True,48.50639742521912,2026-08-15T21:50:00+00:00,2026-08-15T21:55:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786830900-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786830900-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786830900,1786831200,True,117808,116213,108141,1510,1633,114580,0,0.0,299.979,301,DOWN,quotes+trades,0.01,0.01,2.942031145095825,,trade,UP,61.75,123.991,227.351,UP,0.76,0.28,"[[0.76,38.49],[0.78,15.2],[0.79,15.7],[0.8,31.2],[0.81,36.89],[0.82,23.6],[0.83,34.39],[0.84,170.97],[0.85,37.39]]",300.0,299.99999999999994,296.2453219738924,3.7546780261075954,362.1334785403481,0.8180556052645803,0.8284238209878035,0.84,8.0,0.9999999999999998,False,-299.99999999999994,trade,UP,62.0,124.0,229.0,UP,0.79,0.21999999999999997,"[[0.79,20.7],[0.8,31.2],[0.81,41.89],[0.82,23.16],[0.83,28.39],[0.84,19.3],[0.85,32.39],[0.86,34.6],[0.87,36.0],[0.88,448.6]]",300.0,299.99999999999994,296.76905052558504,3.230949474414915,351.89221650634664,0.8433521305812475,0.8525337757636626,0.88,10.0,0.9999999999999998,False,-299.99999999999994,2026-08-15T21:55:00+00:00,2026-08-15T22:00:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786833300-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786833300-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786833300,1786833600,True,128506,126993,118818,1456,1536,125457,0,0.0,300.0,301,DOWN,quotes+trades,0.01,0.01,3.035032033920288,,leader_confirm_too_soon_after_pullback,DOWN,152.206,152.242,159.167,,,,,,,,,,,,,,,,,trade,DOWN,162.0,163.0,240.0,DOWN,0.13,0.88,"[[0.88,8.77],[0.89,43.27],[0.9,30.0],[0.91,90.0],[0.92,125.0],[0.93,220.0]]",300.0,300.0,298.15235303015226,1.8476469698477453,327.1738204625293,0.9112964864017876,0.9169437810637985,0.93,6.0,1.0,True,27.173820462529306,2026-08-15T22:35:00+00:00,2026-08-15T22:40:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786837200-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786837200-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786837200,1786837500,True,116554,115080,107337,1407,1519,113561,0,0.0,300.0,301,UP,quotes+trades,0.99,0.99,2.4509689807891846,,leader_confirm_too_soon_after_pullback,UP,110.933,110.952,110.964,,,,,,,,,,,,,,,,,trade,UP,111.0,126.0,194.0,UP,0.76,0.25,"[[0.76,50.06],[0.77,10.0],[0.79,36.0],[0.8,10.0],[0.81,71.0],[0.82,6.0],[0.83,5.0],[0.85,20.19],[0.86,8.0],[0.87,41.0],[0.88,141.6]]",300.0,300.0,296.51876914914715,3.4812308508528362,357.297351305849,0.8298935552290871,0.8396367868487161,0.88,11.0,1.0,True,57.29735130584902,2026-08-15T23:40:00+00:00,2026-08-15T23:45:00+00:00
