path,filename,archive,market_start,market_end,complete,line_count,book_messages_total,in_window_book_messages,trade_count_window,snapshots,deltas,sequence_breaks,first_book_age,last_book_age,sampled_points,outcome,outcome_source,final_quote_proxy,final_trade_proxy,elapsed_seconds,fatal_error,raw_status,raw_leader,raw_leader_time,raw_pullback_time,raw_confirm_time,raw_entry_side,raw_up_ask_at_entry,raw_down_ask_at_entry,raw_entry_levels,raw_flat_cash_budget,raw_flat_total_debit,raw_flat_principal,raw_flat_fee,raw_flat_shares,raw_flat_avg_price,raw_flat_effective_cost_per_share,raw_flat_worst_price,raw_flat_levels_used,raw_flat_fill_ratio,raw_flat_win,raw_flat_pnl,sampled_status,sampled_leader,sampled_leader_time,sampled_pullback_time,sampled_confirm_time,sampled_entry_side,sampled_up_ask_at_entry,sampled_down_ask_at_entry,sampled_entry_levels,sampled_flat_cash_budget,sampled_flat_total_debit,sampled_flat_principal,sampled_flat_fee,sampled_flat_shares,sampled_flat_avg_price,sampled_flat_effective_cost_per_share,sampled_flat_worst_price,sampled_flat_levels_used,sampled_flat_fill_ratio,sampled_flat_win,sampled_flat_pnl,market_start_utc,market_end_utc
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786683000-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786683000-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786683000,1786683300,True,89617,88513,80650,1009,1120,87393,0,0.0,299.977,301,DOWN,quotes+trades,0.01,0.01,1.8284730911254883,,trade,DOWN,3.293,14.691,199.849,DOWN,0.29,0.76,"[[0.76,23.0],[0.77,643.37]]",300.0,300.0,295.23448873142405,4.765511268575927,383.72011523561565,0.7694006047875317,0.7818198423499143,0.77,2.0,1.0,True,83.72011523561565,trade,DOWN,4.0,15.0,201.0,DOWN,0.25,0.76,"[[0.76,19.5],[0.77,112.1],[0.78,42.57],[0.79,135.0],[0.8,93.11]]",300.0,300.0,295.51883319526627,4.481166804733728,377.32904149408273,0.7831860278369286,0.7950620466744662,0.8,5.0,1.0,True,77.32904149408273,2026-08-14T04:50:00+00:00,2026-08-14T04:55:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786730700-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786730700-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786730700,1786731000,True,180330,177842,168803,2362,2643,175199,0,0.0,299.997,301,DOWN,quotes+trades,0.01,0.01,5.621033191680908,,trade,UP,74.671,85.595,230.186,UP,0.76,0.26,"[[0.76,50.0],[0.77,60.0],[0.78,5.0],[0.79,43.01],[0.8,38.07],[0.81,284.01]]",300.0,300.00000000000006,295.72738748643053,4.272612513569525,372.8620833165808,0.7931280779637263,0.8045870401504012,0.81,6.0,1.0000000000000002,False,-300.00000000000006,trade,UP,75.0,86.0,231.0,UP,0.8,0.20999999999999996,"[[0.8,155.83],[0.81,434.28]]",300.0,300.0,295.97625106089015,4.023748939109838,367.3266062480125,0.805757726302712,0.8167118713895862,0.81,2.0,1.0,False,-300.0,2026-08-14T18:05:00+00:00,2026-08-14T18:10:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786742400-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786742400-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786742400,1786742700,True,113260,111630,102768,1512,1691,109939,0,0.0,299.982,301,DOWN,quotes+trades,0.01,0.01,2.540738105773926,,trade,DOWN,63.087,66.421,184.246,DOWN,0.27,0.76,"[[0.76,53.8],[0.77,56.53],[0.78,51.53],[0.79,84.73],[0.8,163.7]]",300.0,300.0,295.5532328796844,4.446767120315582,376.5987910996056,0.7847960212955498,0.7966037254767868,0.8,5.0,1.0,True,76.59879109960559,trade,DOWN,64.0,69.0,185.0,DOWN,0.24,0.77,"[[0.77,128.1],[0.78,81.53],[0.79,99.03],[0.8,260.23]]",300.0,300.0,295.51190133136095,4.488098668639053,377.46975166420117,0.7828757139572066,0.7947656697718163,0.8,4.0,1.0,True,77.46975166420117,2026-08-14T21:20:00+00:00,2026-08-14T21:25:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786743300-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786743300-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786743300,1786743600,True,103093,101755,93425,1245,1384,100371,0,0.0,299.998,301,UP,quotes+trades,0.99,0.99,2.5015411376953125,,trade,DOWN,105.748,137.813,191.493,DOWN,0.26,0.76,"[[0.76,73.0],[0.77,45.0],[0.78,197.62],[0.79,792.54]]",300.0,300.0,295.3849231102789,4.6150768897211,380.31787735478343,0.7766790379793955,0.788813826177679,0.79,4.0,1.0,False,-300.0,trade,DOWN,106.0,138.0,192.0,DOWN,0.24,0.77,"[[0.77,51.0],[0.78,162.42],[0.79,762.54]]",300.0,300.0,295.5123097270129,4.48769027298709,377.4133034519151,0.7829938876668747,0.7948845397237618,0.79,3.0,1.0,False,-300.0,2026-08-14T21:35:00+00:00,2026-08-14T21:40:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786757700-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786757700-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786757700,1786758000,True,92425,91267,82270,1069,1176,90091,0,0.0,299.989,301,UP,quotes+trades,0.99,0.99,2.837501287460327,,trade,UP,62.322,134.737,233.019,UP,0.76,0.26,"[[0.76,5.53],[0.77,11.0],[0.78,76.0],[0.79,78.81],[0.8,131.0],[0.81,381.94]]",300.0,300.0,295.7431780716471,4.256821928352906,372.3776272489471,0.7942023269672234,0.8056337922778584,0.81,6.0,1.0,True,72.37762724894708,trade,UP,63.0,135.0,234.0,UP,0.79,0.21999999999999997,"[[0.79,88.81],[0.8,111.0],[0.81,398.41]]",300.0,300.0,295.9040917201224,4.0959082798776265,368.87690335817575,0.8021757096372133,0.8132794362261901,0.81,3.0,1.0,True,68.87690335817575,2026-08-15T01:35:00+00:00,2026-08-15T01:40:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786759200-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786759200-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786759200,1786759500,True,97827,96973,88916,785,861,96112,0,0.0,299.989,301,UP,quotes+trades,0.99,0.99,2.5928001403808594,,trade,UP,98.041,120.61,184.682,UP,0.76,0.26,"[[0.76,88.62],[0.77,55.0],[0.78,76.0],[0.79,160.0],[0.8,132.0]]",300.0,300.00000000000006,295.4151968836292,4.584803116370808,379.66249610453644,0.7780994960384221,0.7901754929130475,0.8,5.0,1.0000000000000002,True,79.66249610453639,trade,UP,99.0,121.0,185.0,UP,0.76,0.25,"[[0.76,160.63],[0.77,50.0],[0.78,76.0],[0.79,175.0]]",300.0,300.0,295.30722235143395,4.692777648566079,382.1343320904227,0.77278380284752,0.785064242615637,0.79,4.0,1.0,True,82.13433209042267,2026-08-15T02:00:00+00:00,2026-08-15T02:05:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786769700-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786769700-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786769700,1786770000,True,91319,90112,82650,1140,1239,88873,0,0.002,299.983,301,DOWN,quotes+trades,0.01,0.01,2.180575132369995,,trade,DOWN,99.626,99.691,213.546,DOWN,0.26,0.76,"[[0.76,47.5],[0.77,250.0],[0.78,327.0]]",300.0,299.99999999999994,295.2675891274374,4.732410872562537,382.9712681120993,0.7709914913016654,0.7833485824638602,0.78,3.0,0.9999999999999998,True,82.97126811209938,no_pullback,DOWN,214.0,,,,,,,,,,,,,,,,,,,2026-08-15T04:55:00+00:00,2026-08-15T05:00:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786791000-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786791000-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786791000,1786791300,True,96632,95366,86970,1134,1294,94072,0,0.0,300.0,301,DOWN,quotes+trades,0.01,0.01,2.980386257171631,,trade,DOWN,81.403,81.434,193.066,DOWN,0.26,0.76,"[[0.76,309.01],[0.77,129.0]]",300.0,300.0,295.08474232851097,4.915257671489027,387.24005497209214,0.7620201953276174,0.7747132460809628,0.77,2.0,1.0,True,87.24005497209214,leader_confirm_too_soon_after_pullback,DOWN,189.0,227.0,232.0,,,,,,,,,,,,,,,,,2026-08-15T10:50:00+00:00,2026-08-15T10:55:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786799400-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786799400-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786799400,1786799700,True,116776,114905,106701,1743,1947,112958,0,0.0,299.998,301,UP,quotes+trades,0.99,0.99,4.364403009414673,,trade,DOWN,3.934,67.135,239.168,DOWN,0.32,0.76,"[[0.76,15.2],[0.77,214.8],[0.78,99.0],[0.79,1174.0]]",300.0,300.0,295.34850931309745,4.651490686902532,381.12722697860437,0.774934164778728,0.7871387262942549,0.79,4.0,1.0,False,-300.0,trade,DOWN,4.0,68.0,240.0,DOWN,0.23,0.78,"[[0.78,95.42],[0.79,614.0]]",300.0,300.0,295.6025432935843,4.397456706415689,375.3882826501067,0.7874580986032284,0.7991725204689596,0.79,2.0,1.0,False,-300.0,2026-08-15T13:10:00+00:00,2026-08-15T13:15:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786800300-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786800300-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786800300,1786800600,True,110377,108870,101020,1433,1558,107312,0,0.0,299.988,301,DOWN,quotes+trades,0.01,0.01,4.4459779262542725,,trade,UP,181.04,183.292,260.355,UP,0.76,0.26,"[[0.76,38.64],[0.77,75.0],[0.78,100.0],[0.79,25.0],[0.8,25.0],[0.81,30.0],[0.82,25.0],[0.83,435.0]]",300.0,300.0,295.6763362387588,4.32366376124123,374.07365811898643,0.790422767872923,0.801981089790009,0.83,8.0,1.0,False,-300.0,trade,UP,182.0,184.0,261.0,UP,0.77,0.24,"[[0.77,0.06],[0.78,70.0],[0.79,25.0],[0.8,20.0],[0.81,25.0],[0.82,25.0],[0.83,35.0],[0.84,230.0]]",300.0,300.0,296.24700219541137,3.7529978045886083,362.02524070882305,0.8183048276285323,0.8286715020549908,0.84,8.0,1.0,False,-300.0,2026-08-15T13:25:00+00:00,2026-08-15T13:30:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786815300-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786815300-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786815300,1786815600,True,130237,128146,117220,2017,2149,125997,0,0.0,300.0,301,DOWN,quotes+trades,0.01,0.01,3.133669853210449,,trade,UP,0.203,0.414,187.303,UP,0.76,0.26,"[[0.76,27.0],[0.77,22.0],[0.78,23.0],[0.79,24.0],[0.8,98.69],[0.81,47.89],[0.82,50.6],[0.83,653.39]]",300.0,300.0,295.94157045162564,4.058429548374345,368.29647042364536,0.8035416959364529,0.8145611595324683,0.83,8.0,1.0,False,-300.0,leader_confirm_too_soon_after_pullback,UP,187.0,194.0,196.0,,,,,,,,,,,,,,,,,2026-08-15T17:35:00+00:00,2026-08-15T17:40:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786830300-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786830300-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786830300,1786830600,True,129733,127924,119619,1692,1887,126037,0,0.0,299.984,301,DOWN,quotes+trades,0.01,0.01,3.557180166244507,,trade,DOWN,18.124,18.246,238.91,DOWN,0.39,0.76,"[[0.76,103.0],[0.77,17.83],[0.78,119.0],[0.79,112.0],[0.8,164.5]]",300.0,300.0,295.42416261341225,4.5758373865877715,379.4738282667653,0.7785099804188151,0.7905683545298513,0.8,5.0,1.0,True,79.47382826676528,leader_confirm_too_soon_after_pullback,DOWN,240.0,242.0,244.0,,,,,,,,,,,,,,,,,2026-08-15T21:45:00+00:00,2026-08-15T21:50:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786830900-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786830900-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786830900,1786831200,True,117808,116213,108141,1510,1633,114580,0,0.0,299.979,301,DOWN,quotes+trades,0.01,0.01,2.942031145095825,,trade,UP,61.75,123.991,227.351,UP,0.76,0.28,"[[0.76,38.49],[0.78,15.2],[0.79,15.7],[0.8,31.2],[0.81,36.89],[0.82,23.6],[0.83,34.39],[0.84,170.97],[0.85,37.39]]",300.0,299.99999999999994,296.2453219738924,3.7546780261075954,362.1334785403481,0.8180556052645803,0.8284238209878035,0.84,8.0,0.9999999999999998,False,-299.99999999999994,trade,UP,62.0,124.0,229.0,UP,0.79,0.21999999999999997,"[[0.79,20.7],[0.8,31.2],[0.81,41.89],[0.82,23.16],[0.83,28.39],[0.84,19.3],[0.85,32.39],[0.86,34.6],[0.87,36.0],[0.88,448.6]]",300.0,299.99999999999994,296.76905052558504,3.230949474414915,351.89221650634664,0.8433521305812475,0.8525337757636626,0.88,10.0,0.9999999999999998,False,-299.99999999999994,2026-08-15T21:55:00+00:00,2026-08-15T22:00:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786834800-2026-08-15.txt.zst,polymarket-btc-updown-5m-1786834800-2026-08-15.txt.zst,polymarket-btc-5m_2026-08-15.zip,1786834800,1786835100,True,136804,135219,127427,1544,1635,133584,0,0.0,300.0,301,UP,quotes+trades,0.99,0.99,2.8762519359588623,,trade,UP,162.662,162.775,215.258,UP,0.77,0.27,"[[0.77,5.0],[0.78,7.57],[0.79,5.0],[0.8,18.11],[0.81,31.0],[0.83,5.0],[0.85,83.3],[0.86,106.0],[0.87,197.0]]",300.0,300.0,296.86128116143095,3.138718838569022,349.99572547290916,0.8481854478660169,0.8571533255003168,0.87,9.0,1.0,True,49.99572547290916,leader_confirm_too_soon_after_pullback,UP,216.0,220.0,221.0,,,,,,,,,,,,,,,,,2026-08-15T23:00:00+00:00,2026-08-15T23:05:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-16.zip::polymarket-btc-updown-5m-1786838700-2026-08-16.txt.zst,polymarket-btc-updown-5m-1786838700-2026-08-16.txt.zst,polymarket-btc-5m_2026-08-16.zip,1786838700,1786839000,True,119011,117455,112595,1447,1597,115858,0,0.0,299.984,301,UP,quotes+trades,0.99,0.99,3.263343095779419,,trade,UP,25.52,25.547,204.118,UP,0.78,0.27,"[[0.78,18.33],[0.79,25.7],[0.8,16.2],[0.81,6.05],[0.82,47.6],[0.83,18.39],[0.84,19.3],[0.85,69.05],[0.86,21.6],[0.87,23.0],[0.88,24.6],[0.89,26.6],[0.9,1004.52]]",300.0,299.99999999999994,296.81646207547163,3.1835379245283018,351.1392911949686,0.8452954981636206,0.8543618088965903,0.9,13.0,0.9999999999999998,True,51.13929119496868,leader_confirm_too_soon_after_pullback,UP,205.0,207.0,208.0,,,,,,,,,,,,,,,,,2026-08-16T00:05:00+00:00,2026-08-16T00:10:00+00:00
