trade_no,market_start,filename,entry_side,outcome,win,entry_time,balance_before,target_stake,cash_budget,total_debit,principal,fee,shares,avg_price,effective_cost_per_share,worst_price,levels_used,fill_ratio,pnl,balance_after,peak_balance,drawdown_pct
15,1786378200,polymarket-btc-updown-5m-1786378200-2026-08-10.txt.zst,DOWN,DOWN,True,221.0,279.18299791785165,27.918299791785167,27.918299791785167,27.91829979178517,27.53284003134632,0.38545976043884844,34.4160500391829,0.8,0.8112,0.8,1.0,1.0000000000000002,6.497750247397729,285.6807481652494,311.26176754512176,8.218490687637711
16,1786382700,polymarket-btc-updown-5m-1786382700-2026-08-10.txt.zst,UP,UP,True,256.0,285.6807481652494,28.56807481652494,28.56807481652494,28.56807481652494,28.369488397740756,0.1985864187841853,31.521653775267506,0.9,0.9063,0.9,1.0,1.0,2.9535789587425647,288.63432712399197,311.26176754512176,7.269585532328389
17,1786393800,polymarket-btc-updown-5m-1786393800-2026-08-10.txt.zst,DOWN,DOWN,True,248.0,288.63432712399197,28.8634327123992,28.8634327123992,28.8634327123992,28.589325847189773,0.27410686520942695,33.13715614619514,0.8627573748652069,0.8710292634968116,0.87,2.0,1.0,4.27372343379594,292.90805055778793,311.26176754512176,5.896553608908359
18,1786404900,polymarket-btc-updown-5m-1786404900-2026-08-10.txt.zst,DOWN,DOWN,True,232.0,292.90805055778793,29.290805055778794,29.290805055778794,29.290805055778794,28.946343567327595,0.3444614884511985,34.875112731719994,0.83,0.839877,0.83,1.0,1.0,5.584307675941201,298.49235823372914,311.26176754512176,4.1024663620280695
19,1786409400,polymarket-btc-updown-5m-1786409400-2026-08-11.txt.zst,UP,UP,True,183.0,298.49235823372914,29.849235823372915,29.849235823372915,29.849235823372915,29.356054114253457,0.4931817091194581,38.62638699243876,0.76,0.772768,0.76,1.0,1.0,8.777151169065846,307.269509402795,311.26176754512176,1.2826047265017948
20,1786419000,polymarket-btc-updown-5m-1786419000-2026-08-11.txt.zst,DOWN,DOWN,True,211.0,307.269509402795,30.7269509402795,30.7269509402795,30.7269509402795,30.219267250471578,0.5076836898079226,39.7621937506205,0.76,0.772768,0.76,1.0,1.0,9.035242810340996,316.304752213136,316.304752213136,0.0
21,1786438500,polymarket-btc-updown-5m-1786438500-2026-08-11.txt.zst,DOWN,DOWN,True,198.0,316.304752213136,31.630475221313603,31.630475221313603,31.630475221313603,31.139404570921414,0.4910706503921897,40.19641611656591,0.7746811178543879,0.7868978948169939,0.78,2.0,1.0,8.56594089525231,324.8706931083883,324.8706931083883,0.0
22,1786438800,polymarket-btc-updown-5m-1786438800-2026-08-11.txt.zst,UP,UP,True,261.0,324.8706931083883,32.487069310838834,32.487069310838834,32.487069310838834,32.016427821857526,0.47064148898130564,40.52712382513611,0.79,0.801613,0.79,1.0,1.0,8.040054514297275,332.91074762268556,332.91074762268556,0.0
23,1786451100,polymarket-btc-updown-5m-1786451100-2026-08-11.txt.zst,UP,UP,True,200.0,332.91074762268556,33.29107476226856,33.29107476226856,33.29107476226856,32.76358110645464,0.5274936558139197,42.55010533305797,0.77,0.782397,0.77,1.0,1.0,9.259030570789413,342.169778193475,342.169778193475,0.0
24,1786467900,polymarket-btc-updown-5m-1786467900-2026-08-11.txt.zst,DOWN,DOWN,True,209.0,342.169778193475,34.2169778193475,34.2169778193475,34.2169778193475,33.74455406247288,0.4724237568746203,42.1806925780911,0.8,0.8112,0.8,1.0,1.0,7.963714758743599,350.1334929522186,350.1334929522186,0.0
25,1786469400,polymarket-btc-updown-5m-1786469400-2026-08-11.txt.zst,UP,DOWN,False,220.0,350.1334929522186,35.013349295221865,35.013349295221865,35.013349295221865,34.43484391740939,0.5785053778124777,45.30900515448604,0.76,0.772768,0.76,1.0,1.0,-35.013349295221865,315.12014365699673,350.1334929522186,10.000000000000004
26,1786472100,polymarket-btc-updown-5m-1786472100-2026-08-11.txt.zst,UP,UP,True,248.0,315.12014365699673,31.512014365699674,31.512014365699674,31.512014365699674,31.292963620357174,0.2190507453425002,34.769959578174635,0.9,0.9063000000000001,0.9,1.0,1.0,3.2579452124749615,318.3780888694717,350.1334929522186,9.069513406156904
27,1786472400,polymarket-btc-updown-5m-1786472400-2026-08-11.txt.zst,DOWN,DOWN,True,213.0,318.3780888694717,31.837808886947172,31.837808886947172,31.837808886947172,31.33334207946774,0.5044668074794306,40.69265205125681,0.77,0.782397,0.77,1.0,1.0,8.854843164309635,327.2329320337813,350.1334929522186,6.540522794705174
28,1786486800,polymarket-btc-updown-5m-1786486800-2026-08-11.txt.zst,UP,UP,True,198.0,327.2329320337813,32.723293203378134,32.723293203378134,32.723293203378134,32.22699744275963,0.49629576061849834,41.31666338815337,0.78,0.7920120000000002,0.78,1.0,1.0,8.593370184775239,335.8263022185565,350.1334929522186,4.086210265984046
29,1786490100,polymarket-btc-updown-5m-1786490100-2026-08-11.txt.zst,DOWN,DOWN,True,181.0,335.8263022185565,33.58263022185565,33.58263022185565,33.58263022185565,33.0404119888354,0.54221823302025,43.16027531017585,0.7655282954380391,0.7780911956772879,0.77,2.0,1.0,9.577645088320196,345.4039473068767,350.1334929522186,1.350783555570135
30,1786669800,polymarket-btc-updown-5m-1786669800-2026-08-14.txt.zst,DOWN,DOWN,True,248.0,345.4039473068767,34.54039473068767,34.54039473068767,34.54039473068767,34.30029268191427,0.2401020487733999,38.11143631323808,0.9,0.9063,0.9,1.0,1.0,3.571041582550407,348.9749888894271,350.1334929522186,0.3308749622960533
31,1786681800,polymarket-btc-updown-5m-1786681800-2026-08-14.txt.zst,DOWN,DOWN,True,188.0,348.9749888894271,34.897498888942714,34.897498888942714,34.897498888942714,34.34455160805306,0.5529472808896542,44.60331377669228,0.77,0.782397,0.77,1.0,1.0,9.705814887749568,358.68080377717666,358.68080377717666,0.0
32,1786682100,polymarket-btc-updown-5m-1786682100-2026-08-14.txt.zst,DOWN,DOWN,True,227.0,358.68080377717666,35.86808037771767,35.86808037771767,35.86808037771767,35.27545277116214,0.5926276065555239,46.41506943573966,0.76,0.772768,0.76,1.0,1.0,10.546989058021992,369.22779283519867,369.22779283519867,0.0
33,1786683000,polymarket-btc-updown-5m-1786683000-2026-08-14.txt.zst,DOWN,DOWN,True,201.0,369.22779283519867,36.922779283519866,36.922779283519866,36.922779283519866,36.327532018029586,0.5952472654902764,47.431859763674794,0.7658888392533716,0.7784383633170715,0.77,2.0,1.0,10.509080480154928,379.7368733153536,379.7368733153536,0.0
34,1786694700,polymarket-btc-updown-5m-1786694700-2026-08-14.txt.zst,DOWN,DOWN,True,243.0,379.7368733153536,37.97368733153536,37.97368733153536,37.97368733153536,37.37720328327127,0.5964840482640876,48.42215605477376,0.7719029123980198,0.7842213239860821,0.79,3.0,1.0,10.448468723238399,390.185342038592,390.185342038592,0.0
35,1786707000,polymarket-btc-updown-5m-1786707000-2026-08-14.txt.zst,DOWN,UP,False,180.0,390.185342038592,39.018534203859204,39.018534203859204,39.018534203859204,38.53043996823718,0.4880942356220225,47.04872285329781,0.8189476277258065,0.8293218569507729,0.83,3.0,1.0,-39.018534203859204,351.1668078347328,390.185342038592,9.999999999999998
36,1786730700,polymarket-btc-updown-5m-1786730700-2026-08-14.txt.zst,UP,DOWN,False,231.0,351.1668078347328,35.116680783473285,35.116680783473285,35.116680783473285,34.631835092182726,0.4848456912905581,43.289793865228404,0.8,0.8112,0.8,1.0,1.0,-35.116680783473285,316.05012705125955,390.185342038592,18.999999999999993
37,1786742400,polymarket-btc-updown-5m-1786742400-2026-08-14.txt.zst,DOWN,DOWN,True,185.0,316.05012705125955,31.605012705125958,31.605012705125958,31.60501270512596,31.104234529205748,0.5007781759202125,40.39510977818928,0.77,0.7823970000000001,0.77,1.0,1.0000000000000002,8.790097073063318,324.84022412432284,390.185342038592,16.74719956748301
38,1786743300,polymarket-btc-updown-5m-1786743300-2026-08-14.txt.zst,DOWN,UP,False,192.0,324.84022412432284,32.48402241243229,32.48402241243229,32.48402241243229,31.969316418100863,0.5147059943314239,41.51859275078034,0.77,0.782397,0.77,1.0,1.0,-32.48402241243229,292.35620171189055,390.185342038592,25.07247961073471
39,1786757700,polymarket-btc-updown-5m-1786757700-2026-08-15.txt.zst,UP,UP,True,234.0,292.35620171189055,29.235620171189055,29.235620171189055,29.235620171189055,28.812082557592447,0.42353761359660896,36.47099057923094,0.79,0.801613,0.79,1.0,1.0,7.235370408041888,299.59157211993244,390.185342038592,23.218137679220977
40,1786758300,polymarket-btc-updown-5m-1786758300-2026-08-15.txt.zst,DOWN,DOWN,True,202.0,299.59157211993244,29.959157211993244,29.959157211993244,29.959157211993247,29.464159335162517,0.49499787683073027,38.768630704161204,0.76,0.772768,0.76,1.0,1.0000000000000002,8.809473492167957,308.4010456121004,390.185342038592,20.960371294112473
41,1786759200,polymarket-btc-updown-5m-1786759200-2026-08-15.txt.zst,UP,UP,True,185.0,308.4010456121004,30.84010456121004,30.84010456121004,30.840104561210044,30.330551299380453,0.5095532618295916,39.90862013076375,0.76,0.772768,0.76,1.0,1.0000000000000002,9.068515569553707,317.4695611816541,390.185342038592,18.63621541419816
42,1786768200,polymarket-btc-updown-5m-1786768200-2026-08-15.txt.zst,DOWN,DOWN,True,222.0,317.4695611816541,31.746956118165414,31.746956118165414,31.746956118165414,31.262883471139663,0.48407264702575303,40.14719426726539,0.7787065582470932,0.7907640047476684,0.79,3.0,1.0,8.400238149099977,325.86979933075406,390.185342038592,16.483331324495705
43,1786770900,polymarket-btc-updown-5m-1786770900-2026-08-15.txt.zst,UP,UP,True,248.0,325.86979933075406,32.586979933075405,32.586979933075405,32.586979933075405,32.07064258741798,0.5163373456574294,41.6501851784649,0.7700000000000001,0.782397,0.77,1.0,1.0,9.063205245389497,334.93300457614356,390.185342038592,14.160536419377747
44,1786772400,polymarket-btc-updown-5m-1786772400-2026-08-15.txt.zst,DOWN,UP,False,190.0,334.93300457614356,33.49330045761436,33.49330045761436,33.49330045761436,32.98107982825917,0.5122206293551912,42.38599977981944,0.7781125843340827,0.7901972498372206,0.78,2.0,1.0,-33.49330045761436,301.4397041185292,390.185342038592,22.744482777439966
45,1786775700,polymarket-btc-updown-5m-1786775700-2026-08-15.txt.zst,DOWN,DOWN,True,211.0,301.4397041185292,30.143970411852923,30.143970411852923,30.143970411852923,29.814757221032085,0.329213190820837,35.399479083567165,0.8422371739044158,0.8515371184048325,0.85,2.0,1.0,5.255508671714242,306.6952127902435,390.185342038592,21.397556559182785
46,1786787100,polymarket-btc-updown-5m-1786787100-2026-08-15.txt.zst,UP,UP,True,187.0,306.6952127902435,30.66952127902435,30.66952127902435,30.66952127902435,30.162786466389015,0.5067348126353354,39.68787692945923,0.76,0.772768,0.76,1.0,1.0,9.018355650434877,315.7135684406784,390.185342038592,19.086256087638436
47,1786793400,polymarket-btc-updown-5m-1786793400-2026-08-15.txt.zst,UP,DOWN,False,187.0,315.7135684406784,31.57135684406784,31.57135684406784,31.571356844067843,31.07926122126043,0.4920956228074106,40.16571951443645,0.7737757868395675,0.7860274190462442,0.78,2.0,1.0000000000000002,-31.571356844067843,284.14221159661054,390.185342038592,27.177630478874597
