trade_no,market_start,filename,entry_side,outcome,win,entry_time,balance_before,target_stake,cash_budget,total_debit,principal,fee,shares,avg_price,effective_cost_per_share,worst_price,levels_used,fill_ratio,pnl,balance_after,peak_balance,drawdown_pct
20,1786419000,polymarket-btc-updown-5m-1786419000-2026-08-11.txt.zst,DOWN,DOWN,True,210.764,260.78840833067414,26.078840833067417,26.078840833067417,26.07884083306742,25.64795518594357,0.4308856471238519,33.747309455188905,0.76,0.772768,0.76,1.0,1.0000000000000002,7.668468622121484,268.45687695279565,310.0354341225534,13.410904881705305
21,1786438500,polymarket-btc-updown-5m-1786438500-2026-08-11.txt.zst,DOWN,DOWN,True,197.346,268.45687695279565,26.845687695279565,26.845687695279565,26.845687695279565,26.402131879700594,0.44355581557897,34.73964721013236,0.76,0.772768,0.76,1.0,1.0,7.893959514852796,276.35083646764843,310.0354341225534,10.8647573624084
22,1786451100,polymarket-btc-updown-5m-1786451100-2026-08-11.txt.zst,UP,UP,True,198.595,276.35083646764843,27.635083646764844,27.635083646764844,27.635083646764848,27.19532373463719,0.43975991212765864,35.36535549952881,0.7689820546268656,0.781416820400209,0.77,2.0,1.0000000000000002,7.730271852763963,284.0811083204124,310.0354341225534,8.371406279929138
23,1786468800,polymarket-btc-updown-5m-1786468800-2026-08-11.txt.zst,UP,UP,True,211.388,284.0811083204124,28.408110832041242,28.408110832041242,28.408110832041245,27.940447625274327,0.46766320676691664,36.72136055230432,0.7608772443351374,0.7736126985703038,0.77,2.0,1.0000000000000002,8.313249720263073,292.39435804067546,310.0354341225534,5.6900193140196444
24,1786469400,polymarket-btc-updown-5m-1786469400-2026-08-11.txt.zst,UP,DOWN,False,219.63,292.39435804067546,29.239435804067547,29.239435804067547,29.239435804067544,28.76188836144823,0.4775474426193165,37.70660826162108,0.7627811062158817,0.7754459271752724,0.77,2.0,0.9999999999999999,-29.239435804067544,263.1549222366079,310.0354341225534,15.121017382617689
25,1786472100,polymarket-btc-updown-5m-1786472100-2026-08-11.txt.zst,UP,UP,True,247.156,263.1549222366079,26.31549222366079,26.31549222366079,26.315492223660794,25.95097247053209,0.3645197531287043,32.47069813479523,0.7992120268804238,0.8104381407020447,0.82,3.0,1.0000000000000002,6.155205911134434,269.3101281477423,310.0354341225534,13.135694018353025
26,1786472400,polymarket-btc-updown-5m-1786472400-2026-08-11.txt.zst,DOWN,DOWN,True,212.742,269.3101281477423,26.931012814774235,26.931012814774235,26.931012814774235,26.490246289513074,0.4407665252611605,34.751358817549445,0.762279438585161,0.7749628714136515,0.77,2.0,1.0,7.82034600277521,277.13047415051756,310.0354341225534,10.613290079297483
27,1786482300,polymarket-btc-updown-5m-1786482300-2026-08-11.txt.zst,DOWN,DOWN,True,270.445,277.13047415051756,27.713047415051758,27.713047415051758,27.713047415051765,27.286982578946514,0.4260648361052511,35.13022822368313,0.7767379820365335,0.7888661365532759,0.8,5.0,1.0000000000000002,7.417180808631368,284.54765495914893,310.0354341225534,8.220924564812629
28,1786490100,polymarket-btc-updown-5m-1786490100-2026-08-11.txt.zst,DOWN,DOWN,True,180.263,284.54765495914893,28.454765495914895,28.454765495914895,28.454765495914895,27.9846238158093,0.47014168010559626,36.82187344185434,0.76,0.7727679999999999,0.76,1.0,1.0,8.367107945939448,292.91476290508837,310.0354341225534,5.522165963358056
29,1786681800,polymarket-btc-updown-5m-1786681800-2026-08-14.txt.zst,DOWN,DOWN,True,187.561,292.91476290508837,29.29147629050884,29.29147629050884,29.29147629050884,28.807510120484697,0.4839661700241429,37.904618579585126,0.76,0.772768,0.76,1.0,1.0,8.613142289076286,301.52790519416465,310.0354341225534,2.744050515537467
30,1786683000,polymarket-btc-updown-5m-1786683000-2026-08-14.txt.zst,DOWN,DOWN,True,199.849,301.52790519416465,30.152790519416467,30.152790519416467,30.152790519416467,29.66298053283778,0.48980998657868824,38.822052640049066,0.7640755322205005,0.7766923299751199,0.77,2.0,1.0,8.669262120632599,310.19716731479724,310.19716731479724,0.0
31,1786730700,polymarket-btc-updown-5m-1786730700-2026-08-14.txt.zst,UP,DOWN,False,230.186,310.19716731479724,31.019716731479726,31.019716731479726,31.019716731479726,30.507195841345126,0.5125208901345981,40.14104715966464,0.76,0.7727680000000001,0.76,1.0,1.0,-31.019716731479726,279.1774505833175,310.19716731479724,9.999999999999998
32,1786742400,polymarket-btc-updown-5m-1786742400-2026-08-14.txt.zst,DOWN,DOWN,True,184.246,279.1774505833175,27.917745058331754,27.917745058331754,27.917745058331754,27.456476257210614,0.4612688011211383,36.12694244369818,0.76,0.772768,0.76,1.0,1.0,8.209197385366423,287.386647968684,310.19716731479724,7.353555012629911
33,1786743300,polymarket-btc-updown-5m-1786743300-2026-08-14.txt.zst,DOWN,UP,False,191.493,287.386647968684,28.7386647968684,28.7386647968684,28.7386647968684,28.26383241234107,0.47483238452732995,37.189253174132986,0.76,0.772768,0.76,1.0,1.0,-28.7386647968684,258.64798317181555,310.19716731479724,16.618199511366928
34,1786757700,polymarket-btc-updown-5m-1786757700-2026-08-15.txt.zst,UP,UP,True,233.019,258.64798317181555,25.864798317181556,25.864798317181556,25.864798317181556,25.460887726198106,0.4039105909834508,32.924984264356546,0.773299920867728,0.7855675225084889,0.78,3.0,1.0,7.06018594717499,265.70816911899055,310.19716731479724,14.34216778345301
35,1786759200,polymarket-btc-updown-5m-1786759200-2026-08-15.txt.zst,UP,UP,True,184.682,265.70816911899055,26.57081691189906,26.57081691189906,26.570816911899055,26.13180262775281,0.4390142841462472,34.38395082599054,0.76,0.7727679999999999,0.76,1.0,0.9999999999999999,7.813133914091484,273.52130303308206,310.19716731479724,11.82340399791447
36,1786769700,polymarket-btc-updown-5m-1786769700-2026-08-15.txt.zst,DOWN,DOWN,True,213.546,273.52130303308206,27.352130303308208,27.352130303308208,27.352130303308208,26.90020682858793,0.4519234747202772,35.395008984984116,0.76,0.772768,0.76,1.0,1.0,8.042878681675909,281.564181714758,310.19716731479724,9.230576103546962
37,1786791000,polymarket-btc-updown-5m-1786791000-2026-08-15.txt.zst,DOWN,DOWN,True,193.066,281.564181714758,28.1564181714758,28.1564181714758,28.1564181714758,27.691205912151652,0.4652122593241478,36.43579725283112,0.76,0.772768,0.76,1.0,1.0,8.279379081355323,289.8435607961133,310.19716731479724,6.561506249355427
38,1786799400,polymarket-btc-updown-5m-1786799400-2026-08-15.txt.zst,DOWN,UP,False,239.168,289.8435607961133,28.98435607961133,28.98435607961133,28.98435607961133,28.517143666579404,0.4672124130319284,37.232654112440784,0.7659175620534339,0.7784660205012515,0.77,2.0,1.0,-28.98435607961133,260.85920471650195,310.19716731479724,15.905355624419895
39,1786800300,polymarket-btc-updown-5m-1786800300-2026-08-15.txt.zst,UP,DOWN,False,260.355,260.85920471650195,26.085920471650198,26.085920471650198,26.085920471650194,25.654917851740947,0.43100261990924793,33.75647085755388,0.76,0.7727679999999999,0.76,1.0,0.9999999999999999,-26.085920471650194,234.77328424485177,310.19716731479724,24.3148200619779
